accn|cik|entityName|loc|end|val
0001104659-20-085310|1750|AAR CORP.|US-IL|2019-05-31|187800000
0001264931-19-000169|1961|WORLDS INC.|US-MA|2019-06-30|797908
0001026608-19-000033|2098|ACME UNITED CORP|US-CT|2019-06-30|9931000
0000002178-19-000086|2178|ADAMS RESOURCES & ENERGY, INC.|US-TX|2019-06-30|116983000
0001654954-19-008911|2186|BK Technologies Corporation|US-FL|2019-06-30|6841000
0000002488-19-000104|2488|ADVANCED MICRO DEVICES, INC|US-CA|2019-06-29|828000000
0001558370-19-007560|3453|Matson, Inc.|US-HI|2019-06-30|221100000
0000003545-19-000100|3545|ALICO, INC.|US-FL|2019-06-30|4318000
0000003570-19-000073|3570|CHENIERE ENERGY, INC.|US-TX|2019-06-30|120000000
0000004127-19-000041|4127|Skyworks Solutions, Inc.|US-CA|2019-06-28|218900000
0000897101-19-000787|4187|INDUSTRIAL SERVICES OF AMERICA INC|US-KY|2019-06-30|1711000
0000004281-19-000096|4281|Howmet Aerospace Inc.|US-PA|2019-06-30|2095000000
0001564590-19-029357|4447|HESS CORPORATION|US-NY|2019-06-30|353000000
0000004904-19-000040|4904|AMERICAN ELECTRIC POWER COMPANY, INC.|US-OH|2019-06-30|1689000000
0001564590-19-029861|5981|AMERICAN VANGUARD CORP|US-CA|2019-06-30|62220000
0001564590-19-030718|6176|AMPCO PITTSBURGH CORP|US-PA|2019-06-30|41854000
0000006201-19-000053|6201|AMERICAN AIRLINES GROUP INC.|US-TX|2019-06-30|2118000000
0000006281-19-000115|6281|Analog Devices, Inc.|US-MA|2019-08-03|220230000
0001733037-19-000013|6769|APACHE CORPORATION|US-TX|2019-06-30|644000000
0000006845-19-000022|6845|APOGEE ENTERPRISES, INC.|US-MN|2019-06-01|73017000
0000006885-19-000182|6885|STAGE STORES INC|US-TX|2019-08-03|155865000
0000006951-19-000029|6951|APPLIED MATERIALS INC /DE|US-CA|2019-07-28|890000000
0000006955-19-000020|6955|ENERPAC TOOL GROUP CORP|US-WI|2019-05-31|126145000
0000007039-19-000182|7039|Trecora Resources|US-TX|2019-06-30|11159000
0000007084-19-000028|7084|ARCHER-DANIELS-MIDLAND CO|US-IL|2019-06-30|3067000000
0000007332-19-000046|7332|SOUTHWESTERN ENERGY CO|US-TX|2019-06-30|585000000
0001666359-19-000005|7536|ARROW ELECTRONICS, INC.|US-CO|2019-06-29|6245068000
